"","long","lat","counts","Year"
"1",-86.76,33.47,57,2000
"2",-88.13,30.34,28,2000
"3",-85.09,31.99,23,2000
"4",-87.9,30.23,58,2000
"5",-87.63,30.32,151,2000
"6",-86.28,34.39,99,2000
"7",-86.38,32.35,23,2000
"8",-87.95,30.75,43,2000
"9",-87.58,33.24,58,2000
"10",-88,34.83,56,2000
"11",-86.88,34.6,12,2000
"12",-93.05,34.13,18,2000
"13",-92.68,36.98,1,2000
"14",-92.42,35.09,3,2000
"15",-93.14,35.17,1,2000
"16",-92.97,34.72,71,2000
"17",-90.7,35.92,4,2000
"18",-91.9,34.75,3,2000
"19",-92.28,34.76,15,2000
"20",-91.32,33.4,3,2000
"21",-94.23,34.58,1,2000
"22",-92.47,36.39,3,2000
"23",-93.28,33.27,36,2000
"24",-92,34.23,15,2000
"25",-78.67,26.54,23,2000
"26",-77.4,25.05,3,2000
"27",-64.76,32.31,0,2000
"28",-118.09,33.85,1,2000
"29",-72.93,41.3,1,2000
"30",-72.43,41.29,1,2000
"31",-77.07,38.87,1,2000
"32",-75.11,38.6,9,2000
"33",-75.57,38.58,6,2000
"34",-82.58,28.47,12,2000
"35",-85.07,29.67,33,2000
"36",-82.33,27.79,65,2000
"37",-81.32,27.65,489,2000
"38",-82.56,27.5,21,2000
"39",-85.67,30.19,26,2000
"40",-82.32,28.55,215,2000
"41",-86.52,30.45,387,2000
"42",-83.01,29.19,35,2000
"43",-80.7,28.36,13,2000
"44",-82.58,28.87,130,2000
"45",-81.52,26.37,52,2000
"46",-81.12,29.25,27,2000
"47",-80.19,25.84,38,2000
"48",-81.15,28.71,46,2000
"49",-81.85,28.85,173,2000
"50",-82.24,28.31,130,2000
"51",-81.45,26.15,67,2000
"52",-80.22,26.14,19,2000
"53",-81.99,26.56,40,2000
"54",-80.38,27.42,34,2000
"55",-82.31,29.6,100,2000
"56",-82.81,27.5,2,2000
"57",-82.76,30.34,115,2000
"58",-81.49,30.42,42,2000
"59",-80.15,26.99,36,2000
"60",-81.39,28.21,21,2000
"61",-81.85,28.03,24,2000
"62",-81.35,24.67,4,2000
"63",-80.72,25.36,25,2000
"64",-81.34,27.26,120,2000
"65",-81.52,27.89,44,2000
"66",-81.99,29.75,110,2000
"67",-80.68,28.62,8,2000
"68",-82.24,27.23,73,2000
"69",-81.76,26.13,44,2000
"70",-82.74,28.07,60,2000
"71",-82.69,28.26,75,2000
"72",-87.37,30.33,212,2000
"73",-87.15,30.45,62,2000
"74",-81.01,29.06,20,2000
"75",-82.05,26.92,161,2000
"76",-85.3,29.77,14,2000
"77",-80.5,25.43,34,2000
"78",-81.32,29.93,9,2000
"79",-80.55,27.85,83,2000
"80",-82.16,26.46,2,2000
"81",-84.22,30.15,91,2000
"82",-82.68,27.8,140,2000
"83",-82.5,27.28,3,2000
"84",-80.25,27.18,73,2000
"85",-82.46,28.01,3,2000
"86",-84.24,30.53,137,2000
"87",-81.62,25.95,27,2000
"88",-82.38,27,76,2000
"89",-80.13,26.57,128,2000
"90",-81.37,28.79,168,2000
"91",-81.3,29.05,11,2000
"92",-81.61,28.73,15,2000
"93",-84.42,31.43,43,2000
"94",-83.38,33.93,19,2000
"95",-84.67,33.97,150,2000
"96",-82.02,33.44,19,2000
"97",-84.63,30.88,69,2000
"98",-84.84,32.82,413,2000
"99",-81.47,30.82,20,2000
"100",-85,32.59,18,2000
"101",-84.97,34.77,1,2000
"102",-81.43,31.11,72,2000
"103",-81.29,31.68,6,2000
"104",-83.88,31.96,24,2000
"105",-83.67,32.83,6,2000
"106",-82.13,30.8,21,2000
"107",-84.62,33.35,49,2000
"108",-83.75,33.09,138,2000
"109",-81.12,31.64,303,2000
"110",-81.47,31.47,76,2000
"111",-81.07,32.08,7,2000
"112",-89.02,37.32,1,2000
"113",-88.97,38.13,1,2000
