"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"1",1,1,1,0,2,2,0,0.5,2,1,1,1,0.5,2,0.5,1,2,1,1,2,2,1,2,1,1,0,0,2,0,1,0.5,2,0,2,2,1
"2",0,1,1,1,NA,2,2,0,0.5,1,NA,0,0.5,1,0.5,2,0,NA,1,0,2,0.5,2,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"4",2,2,1,1.5,1.5,1,1,0.5,0.5,1.5,1.5,1,2,2,1,0.5,2,1,0,1.5,1,1,2,0.5,1,0,0,0,0,2,1,4,1,2,0,4
"11",NA,0,0,0,1.5,1,0,0,2,2,0,2,1,2,2,2,0,2,2,2,2,0,1.5,1,0,2,2,1.5,1,2,0,1,0,0,0,2
"13",NA,NA,0,2.5,0,1,1,1,0,2,0.5,0.5,1.5,1,0,0,2.5,0,1,0.5,1,0,1.5,0,1,0,2,0,1,2,1,4,2,2,4,0
"16",NA,2,0,0,0,0,1,0,2,NA,0,0,2,0,2,0,2,NA,0,1.5,2,0.5,2,0,0.5,0,0,0,0,1,1,0,0,0,0,1
"18",1,1,1,1,0,0.5,1,1,0,0.5,0.5,0,0,2,1,0,1,1,2,1.5,0,0.5,1.5,0,2,0,0,1,0,1,2,1,1,4,0,0
"20",0,1,1,1,0,0,1,0,0,0.5,2,1,0.5,0.5,2,0,0.5,0.5,NA,0,1.5,0,2,1,0,1,2,0,2,1,2,0,4,1,4,4
"43",2,1,0.5,2,0,1,3,2,0,1,2,1,1.5,0.5,0,1.5,2.5,1,2.5,0,0.5,0,0,0,0,0,0,2,2,0,1,4,0,4,4,4
"44",NA,NA,NA,2,2.5,2,1,2,1.5,2.5,3,0.5,2,0.5,2.5,2.5,4,0,1,1,1,1,1,1,0,2,1,1,1.5,1,0.5,2,0,2,4,0
"45",1.5,1,2,2,1,1,1,2,1,2,2,1,3,2.5,1,2,2.5,1,2.5,2.5,2,1.5,2,0,0,2,2.5,0.5,1.5,2,2,2,2,1,4,4
"46",0,2,1,1,3,2,2.5,1.5,0,2,2,0.5,2.5,1,2.5,0.5,3,2,4,0,0,1,0,1,0,0,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA
"47",0,4,2,0,2.5,2,1,2,2.5,2,2.5,2,1,2,2.5,0.5,0.5,0,2,2.5,0.5,0,0,3.5,0,0.5,2.5,0,1,1,0,0,4,4,4,4
"48",NA,NA,NA,NA,NA,NA,NA,3,0.5,0.5,1,0,1,0,0,0,1.5,0.5,2,0,1,0,0,0,0,0,2,2,3,2,1,2,4,0,4,4
"49",NA,NA,NA,NA,NA,2.5,2,2,2.5,1.5,3,2,0,3,2,3,2.5,0,2,1.5,0,1,0,1.5,2,1.5,2,1.5,1,0.5,1,4,4,2,4,1
"50",NA,NA,NA,1.5,1,0,1,2,0,1,1.5,0,3,2.5,3,3,0,2.5,1.5,1.5,2,0.5,0.5,2,0,0.5,0.5,1.5,3,0.5,NA,NA,NA,NA,NA,NA
"51",0,2,1,0,0,1,3,2,0,0.5,2.5,3,0.5,0,2,0.5,0.5,1.5,2,0.5,0.5,0.5,0,2,0,1,1.5,NA,1,1,1,0,1,4,4,2
"52",NA,NA,NA,NA,NA,NA,NA,2,0,1,2,1.5,2,1,4,0.5,0.5,1,2,2,2,1,1,0,1.5,2,2,2,2,2,0,0,4,4,0,2
"53",0,0,0,0,0,0,0,2,0,0,0.5,1,0.5,1,2,0,0,0,2,2,2,0,1.5,1,0,1.5,2,1.5,2,2,1,2,4,4,4,2
"54",2,0,1.5,1,1.5,2,1,2,0,1.5,1.5,0.5,3,1,4,2,1.5,2,1.5,0.5,2,2,0,0,0,1.5,1.5,2,2,1,1,4,4,4,4,0
"55",NA,0,0,0.5,1.5,1,0,1,0,1,3,1,1,NA,2,2,0.5,0,2.5,0.5,1,2,0.5,0,0.5,2,1.5,2,1.5,1.5,1,0,2,4,4,4
"56",0,0,2,0,1,1,0,2,0,0.5,2.5,0,2,0,2,0,2,2,2,0,3,2,0,0,0,0,1.5,2,1,0,0.5,3,2,4,2,2
"57",1,2,0,2,1,0.5,1,2,0.5,1,0,0,3,0.5,0,0.5,2,2,3.5,0.5,0,2,0,2,0,2,1,1.5,2,1,0.5,2,1,4,4,4
