"","lon","lat"
"1",-115.48,51.17
"2",-116.42,51.65
"4",-114.08,51.05
"11",-112.88,51.42
"13",-110.68,50.02
"16",-112.63,52.32
"18",-114.67,51.78
"20",-114.58,51.43
"43",-86.76,33.47
"44",-88.13,30.34
"45",-85.09,31.99
"46",-87.9,30.23
"47",-87.63,30.32
"48",-86.28,34.39
"49",-86.38,32.35
"50",-87.95,30.75
"51",-87.58,33.24
"52",-88,34.83
"53",-86.88,34.6
"54",-93.05,34.13
"55",-92.68,36.98
"56",-92.42,35.09
"57",-94.17,36.06
"58",-94.38,35.38
"59",-93.14,35.17
"60",-92.97,34.72
"61",-91.9,34.75
"62",-92.28,34.76
"63",-94.23,34.58
"64",-93.28,33.27
"65",-92,34.23
"66",-90.71,35.16
"67",-91.12,34.31
"68",-111.73,33.55
"69",-111.17,31.47
"70",-111.25,32.25
"71",-111.45,31.57
"72",-111.75,34.59
"73",-111.6,35.24
"74",-112.68,33.31
"75",-110.92,31.79
"76",-112.67,34
"77",-112.12,34.74
"78",-111.45,35
"79",-114.46,32.89
"80",-110.94,31.43
"81",-109.14,31.9
"82",-112.47,34.54
"83",-110.2,31.45
"84",-110.73,32.34
"85",-110.13,31.89
"86",-111.88,34.84
"87",-109.38,34.53
"88",-109.96,34.21
"89",-110.97,32.3
"90",-125.14,48.84
"91",-115.79,49.5
"92",-121.94,49.11
"93",-124.93,49.67
"95",-124.74,49.47
"96",-123.67,48.79
"97",-118.02,49.92
"99",-120.4,50.67
"100",-119.49,49.88
"102",-123.06,49.05
"104",-117.72,50.21
"105",-123.93,49.17
"106",-119.52,49.08
"107",-119.6,49.53
"111",-122.67,49.28
"113",-118.22,51.01
"115",-119.23,50.7
"116",-123.62,49.47
"118",-119.43,50.91
"120",-123.67,48.34
"121",-123.15,49.73
"123",-123.11,49.26
"124",-119.28,50.27
"126",-119.59,49.31
"127",-122.72,49.07
"129",-121.14,38.98
"130",-116.4,33.28
"131",-122.4,38.57
"132",-122.32,37.21
"133",-124.16,40.87
"134",-118.92,35.43
"135",-116.9,34.28
"136",-122.11,38.11
"137",-118.48,37.36
"138",-118.14,35.41
"139",-119.26,35.23
"140",-124.24,40.64
"141",-121.99,37.95
"142",-122.72,38.94
"143",-117.71,34.14
"144",-121.82,39.72
"145",-119.85,35.25
"146",-122.38,37.52
"147",-121.17,37.61
"148",-124.17,41.84
"149",-116.87,36.46
"150",-116.94,33.1
"151",-122.91,41.49
"152",-121.1,38.66
"153",-121.49,41.06
"154",-122.07,37.61
"155",-120.42,40.34
"156",-121.37,36.8
"157",-116.77,33.71
"158",-116.1,34.05
"159",-118.46,35.66
"160",-118.38,34.05
"161",-118.09,33.85
"162",-122.75,40.72
"163",-119.7,36.95
"164",-118.09,34.7
"165",-118.12,36.57
"166",-121.25,40.28
"167",-120.88,37.06
"168",-120.54,34.66
"169",-120.59,37.65
"170",-122.56,37.92
"171",-121.74,36.9
"172",-121.52,37.37
"173",-119.12,37.96
"174",-123.69,39.03
"175",-121.88,36.56
"176",-120.78,35.3
"177",-122.41,41.53
"178",-121.98,36.72
"179",-118.7,34.08
"180",-116.56,34.04
"181",-122.23,37.81
"182",-117.95,33.67
"183",-117.68,33.71
"184",-121.55,39.52
"185",-117.28,33.19
"186",-122.16,37.41
"187",-122.03,38.48
"188",-120.88,36.61
"189",-118.33,33.77
"190",-118.09,34.12
"191",-121.82,39.2
"192",-122.21,40.21
"193",-122.45,40.62
"194",-117,34.1
"195",-117.16,33
"196",-117.49,33.91
"197",-119.76,34.45
"198",-122.05,37.02
"199",-122.47,37.71
"200",-120.58,34.88
"201",-116.1,33.52
"203",-121.88,37.4
"204",-117.12,33.87
"205",-121.55,38.6
"206",-117.3,34.09
"207",-118.81,36.13
"208",-122.71,38.44
"209",-115.61,33.16
"210",-121.4,38.12
"211",-118.5,34.24
"212",-121.54,41.95
"213",-118.97,34.15
"214",-123.17,39.14
"215",-123.67,40.95
"216",-119.81,38.77
"217",-123.03,38.39
"218",-119.67,37.72
"219",-106.9,39.25
"220",-104.65,39.12
"221",-104.7,39.97
"222",-105.27,40.03
"223",-104.82,38.8
"224",-107.2,38.45
"225",-104.96,39.37
"226",-105.14,39.59
"227",-107.81,37.2
"228",-104.88,39.73
"229",-105.43,39.68
"230",-105.11,40.65
"231",-108.61,39.12
"232",-104.68,40.39
"233",-106.89,38.61
"234",-107.76,38.77
"235",-104.92,38.01
"236",-105.17,40.17
"237",-106.13,40.57
"238",-104.71,40.83
"239",-105.14,38.39
"240",-104.99,38.92
"241",-104.79,38.24
"242",-104.52,38.18
"243",-105.14,40.86
"244",-107.26,39.46
"245",-105.54,40.38
"246",-105.47,38.14
"247",-103.86,40.34
"248",-72.99,41.91
"249",-71.93,41.8
"250",-73.61,41.08
"251",-72.67,41.77
"252",-73.27,41.77
"253",-73.44,41.94
"254",-72.93,41.3
"255",-72.1,41.32
"256",-72.43,41.29
"257",-73.14,41.4
"258",-72.73,41.47
"259",-73.11,41.17
"260",-72.45,41.55
"261",-72.25,41.81
"262",-73.36,41.16
"263",-73.28,41.54
"264",-77.07,38.87
"265",-75.48,39.22
"266",-75.19,38.81
"267",-75.63,39.48
"268",-75.11,38.6
"269",-75.57,38.58
"270",-75.64,39.75
"271",-82.56,27.5
"272",-85.67,30.19
"273",-80.24,25.45
"274",-82.32,28.55
"275",-86.52,30.45
"276",-80.96,25.14
"277",-83.01,29.19
"278",-80.7,28.36
"279",-82.58,28.87
"280",-81.52,26.37
"281",-80.19,25.84
"282",-81.15,28.71
"283",-82.24,28.31
"284",-80.22,26.14
"285",-81.99,26.56
"286",-80.38,27.42
"287",-82.31,29.6
"288",-82.81,27.5
"289",-82.76,30.34
"290",-81.49,30.42
"291",-80.6,25.01
"292",-81.39,28.21
"293",-81.85,28.03
"295",-81.34,27.26
"296",-81.52,27.89
"297",-80.68,28.62
"298",-82.24,27.23
"299",-81.76,26.13
"300",-82.74,28.07
"301",-82.69,28.26
"302",-87.37,30.33
"303",-87.15,30.45
"304",-81.01,29.06
"305",-82.05,26.92
"306",-85.3,29.77
"307",-81.32,29.93
"309",-84.22,30.15
"310",-82.68,27.8
"311",-82.5,27.28
"312",-80.25,27.18
"313",-82.46,28.01
"314",-84.24,30.53
"315",-82.38,27
"316",-80.13,26.57
"317",-81.3,29.05
"318",-81.61,28.73
"320",-84.42,31.43
"321",-83.38,33.93
"322",-84.67,33.97
"323",-82.02,33.44
"324",-84.63,30.88
"325",-84.84,32.82
"326",-84.65,34.88
"328",-85,32.59
"329",-84.97,34.77
"330",-81.43,31.11
"331",-81.29,31.68
"332",-83.67,32.83
"333",-82.13,30.8
"334",-84.62,33.35
"335",-83.75,33.09
"336",-81.12,31.64
"337",-81.47,31.47
"339",-93.57,42.01
"340",-93.9,42.04
"341",-92.23,42.72
"342",-91.11,40.84
"343",-92.45,42.52
"344",-90.17,41.98
"345",-91.67,41.98
"346",-90.51,41.55
"347",-91.73,43.38
"348",-93.7,41.6
"349",-90.71,42.49
"350",-91.61,41.75
"351",-91.46,40.47
"352",-91.01,41.43
"353",-91.58,42.2
"354",-90.35,41.75
"355",-96.41,42.49
"356",-95.48,40.72
"357",-95.1,43.42
"358",-93.76,41.8
"359",-91.2,43.15
"360",-112.7,42.98
"361",-116.2,43.62
"362",-115.86,42.93
"363",-111.42,43.07
"364",-114.9,42.82
"365",-112.06,43.52
"366",-116.08,47.38
"367",-117.04,46.73
"368",-116.67,43.57
"369",-112.43,42.87
"370",-113.98,44.63
"371",-111.86,43.8
"372",-113.65,42.62
"373",-113.9,45.18
"374",-116.56,48.27
"375",-114.07,43.31
"376",-114.46,42.56
"377",-88.13,42.07
"378",-88.08,38.75
"379",-88.94,40.56
"380",-89.95,40.42
"381",-88.11,40.06
"382",-89.5,40.9
"383",-87.59,41.88
"384",-89.02,37.72
"385",-87.54,41.62
"386",-90.23,40.12
"387",-88.8,40.17
"388",-87.73,41.91
"389",-89.96,38.71
"390",-88.95,39.84
"391",-88.77,42.03
"392",-87.79,42.14
"393",-88.26,41.88
"394",-87.67,40
"395",-89.64,42.29
"396",-89.33,37.21
"397",-88.7,41.32
"398",-88.12,41.51
"399",-87.97,41.75
"400",-87.7,39.35
"401",-88.37,42.32
"402",-87.7,40.25
"403",-90.59,39.85
"404",-88.3,41.3
"405",-89.62,40.7
"406",-90.61,39
"407",-89.38,41.32
"408",-91.4,39.93
"409",-88.97,38.13
"410",-89.17,42.37
"411",-90.59,40.15
"412",-90.21,42.4
"413",-89.65,39.8
"414",-88.98,41.32
"415",-87.72,41.46
"416",-89.4,37.47
"417",-87.87,42.35
"418",-90.92,41.17
"419",-86.34,39.93
"420",-87.58,37.98
"421",-85.13,41.2
"422",-87.01,41.66
"423",-86.04,39.87
"424",-86.07,39.41
"425",-86.92,40.46
"426",-86.4,39.02
"427",-85.22,39.6
"428",-85.8,38.96
"429",-85.37,39.92
"430",-86.67,41.68
"431",-87.35,38.29
"432",-84.9,39.1
