"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"1",10,7,15,5,5,25,10,12,15,5,10,15,15,16,15,6,15,12,10,15,25,12,5,10,12,3,6,9,3,12,3,60,10,24,31,0
"2",5,15,10,15,NA,10,10,5,10,8,NA,5,5,3,3,3,5,NA,5,5,15,5,5,5,3,6,9,3,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,28,28,6,16,20,21,18,8,16,6,38,8,3,12,6,13,22,4,9,9,46,24,15,31,8,22,17,10,13,5,13,49,50,16,17
"11",NA,15,15,15,22,25,12,18,10,20,25,20,15,15,20,10,20,25,15,25,25,10,6,60,18,15,18,18,24,12,9,50,15,40,20,20
"13",NA,NA,25,5,5,15,10,15,20,5,10,20,15,5,6,5,5,5,5,20,6,12,18,6,43,6,24,9,3,6,6,0,20,5,15,30
"16",NA,15,4,3,5,0,0,3,0,NA,0,0,5,0,3,9,0,NA,6,4,0,3,9,6,0,6,0,0,6,6,0,10,10,10,17,15
"18",7,5,15,20,10,10,15,20,5,5,10,5,5,5,10,5,7,20,0,5,5,12,0,5,12,3,15,0,4,5,4,11,11,5,0,7
"20",0,6,8,15,2,7,25,10,5,3,30,75,15,5,8,3,8,20,NA,25,35,0,0,0,3,6,1,3,3,0,18,35,15,15,15,10
"43",10,10,15,5,5,5,5,10,12,15,15,10,10,5,10,10,10,15,0,16,10,20,5,0,0,0,5,10,10,0,17,13,9,0,5,39
"44",NA,NA,NA,18,10,10,12,5,10,10,0,15,5,10,10,20,0,15,20,0,25,0,0,0,0,25,0,0,10,11,20,16,4,17,20,15
"45",20,25,10,15,15,5,15,0,5,10,10,5,5,5,10,20,20,5,5,5,5,10,15,20,10,15,10,15,10,10,10,15,10,7,6,9
"46",20,15,20,10,10,20,15,35,15,25,22,10,12,10,0,15,10,30,15,5,20,30,0,5,10,15,25,15,NA,NA,NA,NA,NA,NA,NA,NA
"47",12,23,12,10,20,15,30,15,5,10,20,10,15,5,5,5,15,15,40,10,30,10,5,5,10,15,24,15,15,20,20,24,15,10,20,15
"48",NA,NA,NA,NA,NA,NA,NA,10,10,5,10,10,10,20,10,10,15,10,10,15,20,15,15,15,5,15,20,15,10,10,15,20,30,10,7,5
"49",NA,NA,NA,NA,NA,0,5,8,10,10,7,10,10,3,12,9,20,8,21,8,24,10,7,12,8,8,13,13,12,12,13,14,6,10,7,15
"50",NA,NA,NA,15,15,15,10,15,15,15,20,20,10,10,5,5,15,10,15,10,17,10,16,18,20,15,6,6,10,5,NA,NA,NA,NA,NA,NA
"51",10,20,15,10,5,10,5,7,5,10,5,15,4,15,0,25,15,15,15,3,9,10,0,0,3,0,5,NA,3,5,0,5,0,3,5,0
"52",NA,NA,NA,NA,NA,NA,NA,15,15,10,20,20,5,10,5,15,20,5,5,5,20,5,15,5,6,10,10,15,10,15,10,10,15,10,5,5
"53",20,10,3,5,5,5,5,0,15,5,5,20,5,15,5,5,5,0,15,10,30,10,20,10,10,12,15,25,20,20,10,10,10,10,15,15
"54",15,10,15,15,10,5,3,10,10,8,5,15,5,10,5,20,10,10,15,10,15,10,5,5,10,15,10,15,16,8,9,4,8,20,5,5
"55",NA,0,5,5,0,10,15,15,5,15,15,15,4,NA,5,5,15,10,10,7,5,0,15,10,7,6,25,5,25,6,15,10,15,13,5,15
"56",5,2,5,2,15,3,3,15,15,5,20,16,10,10,5,10,9,12,6,10,10,4,0,0,6,6,6,5,0,0,5,10,10,20,15,10
"57",6,10,10,5,30,30,5,20,20,10,0,20,15,15,10,10,25,5,15,10,3,4,6,5,8,4,9,5,28,8,0,7,7,10,15,30
"58",15,17,16,19,16,5,5,5,10,5,18,10,5,5,0,10,10,3,5,0,10,10,5,20,10,8,31,5,45,8,5,3,8,23,5,10
"59",NA,NA,NA,NA,NA,NA,NA,NA,30,10,NA,NA,5,10,10,10,20,15,20,10,15,10,25,30,10,3,7,5,5,13,16,8,7,30,27,7
